-6.73815	1.11604	0.74403	-5.6221
-6.73816	1.11642	0.744277	-5.62175
-6.73904	1.11752	0.745012	-5.62153
-6.73743	1.11597	0.743981	-5.62146
-6.73747	1.11607	0.744045	-5.62141
-6.73624	1.11446	0.742974	-5.62178
-6.73655	1.11488	0.743257	-5.62167
-6.73575	1.11422	0.742814	-5.62153
-6.73577	1.11479	0.743196	-5.62098
-6.73487	1.11357	0.742379	-5.6213
-6.73639	1.11479	0.743192	-5.6216
-6.73722	1.11559	0.743729	-5.62162
-6.7372	1.11567	0.743781	-5.62152
-6.73516	1.11362	0.742413	-5.62154
-6.73834	1.11662	0.744412	-5.62172
-6.73753	1.11578	0.743853	-5.62175
-6.73717	1.11559	0.743724	-5.62158
-6.73697	1.11541	0.743609	-5.62155
-6.73581	1.11476	0.743176	-5.62105
-6.73697	1.11502	0.743348	-5.62194
-6.73384	1.11274	0.74183	-5.6211
-6.73863	1.11682	0.744548	-5.6218
-6.73975	1.11762	0.74508	-5.62213
-6.73781	1.1156	0.743733	-5.62221
-6.73843	1.11653	0.744356	-5.62189
-6.7364	1.11512	0.743412	-5.62128
-6.73537	1.11417	0.742779	-5.6212
-6.7385	1.11723	0.744818	-5.62127
-6.73701	1.11524	0.743493	-5.62177
-6.73623	1.11452	0.74301	-5.62172
-6.73748	1.11642	0.74428	-5.62106
-6.73657	1.11509	0.743395	-5.62148
-6.73939	1.11758	0.745053	-5.62181
-6.73787	1.11566	0.74377	-5.62221
-6.73795	1.11588	0.743917	-5.62207
-6.73653	1.11513	0.743418	-5.6214
-6.73733	1.11585	0.7439	-5.62148
-6.73579	1.11456	0.743043	-5.62122
-6.73414	1.11286	0.741908	-5.62128
-6.73655	1.11495	0.7433	-5.6216
-6.73626	1.11459	0.743058	-5.62168
-6.73818	1.11729	0.744859	-5.62089
-6.7365	1.11495	0.743298	-5.62155
-6.73516	1.11375	0.742497	-5.62142
-6.73549	1.11492	0.743279	-5.62058
-6.7334	1.11266	0.741774	-5.62074
-6.73569	1.11454	0.743024	-5.62115
-6.73696	1.11548	0.743653	-5.62148
-6.73812	1.11661	0.744405	-5.62151
