1.4784	1.50458
1.49809	1.4992
1.50654	1.49725
1.48063	1.49797
1.49578	1.50954
1.50289	1.51974
1.48921	1.50396
1.50468	1.50637
1.48866	1.49788
1.49271	1.50351
1.49073	1.50772
1.49253	1.52382
1.46502	1.49202
1.4969	1.5283
1.48977	1.5014
1.47596	1.47387
1.51109	1.51123
1.51079	1.48981
1.48424	1.48468
1.48443	1.51704
1.47807	1.5037
1.4923	1.48958
1.48331	1.50023
1.51311	1.48419
1.53355	1.49758
1.497	1.51612
1.49176	1.5233
1.49786	1.50297
1.50498	1.47241
1.49663	1.5017
1.50146	1.48564
1.49465	1.50659
1.48753	1.48062
1.49533	1.50251
1.51423	1.48875
1.5063	1.47918
1.48609	1.47267
1.49138	1.49105
1.48806	1.51252
1.4913	1.51166
1.4946	1.47647
1.49703	1.48159
1.4984	1.5108
1.50519	1.487
1.4992	1.51725
1.50137	1.50921
1.49977	1.51797
1.5155	1.49827
1.47856	1.48751
1.48645	1.51159
1.51664	1.51499
1.51015	1.49855
1.48413	1.50578
1.47265	1.50359
1.48506	1.48324
1.47152	1.51526
1.50216	1.49974
1.50427	1.49868
1.5024	1.51071
1.4806	1.50643
1.5045	1.48258
1.49132	1.50031
1.49064	1.51308
1.49347	1.48461
1.48567	1.49426
1.5037	1.51212
1.49032	1.4785
1.51401	1.50561
1.49942	1.50486
1.52929	1.48573
1.5062	1.47667
1.51632	1.49591
1.51676	1.5063
1.51551	1.49537
1.48631	1.52919
1.50113	1.52293
1.51761	1.49254
1.48945	1.51491
1.50046	1.49952
1.52217	1.50164
1.50286	1.48909
1.50807	1.50053
1.49686	1.49475
1.50582	1.52559
1.51024	1.49625
1.48138	1.47495
1.49682	1.49022
1.49867	1.50122
1.49947	1.51902
1.52516	1.46785
1.48635	1.49762
1.50247	1.49545
1.48124	1.50689
1.51165	1.48552
1.49468	1.49155
1.49926	1.51503
1.50225	1.52791
1.48647	1.49624
1.504	1.49352
1.50215	1.48985
